,Crédit bancaire Industries alimentaires et tabac (MDH),Crédit bancaire Industries textiles-habillement-cuir (MDH),Crédit bancaire Industries chimiques-parachimiques (MDH),Crédit bancaire Industries métallurgiques-mécaniques-électriques (MDH),Crédit bancaire Industries manufacturières diverses (MDH),IPI — Industries manufacturières hors raffinage de pétrole,IPI — Industries alimentaires,IPI — Fabrication de boissons,IPI — Fabrication de produits à base de tabac,IPI — Fabrication de textiles,IPI — Industrie d’habillement,IPI — Industrie du cuir et de la chaussure (à l’exception de l’habillement en cuir),"IPI — Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",IPI — Industrie du papier et du carton,IPI — Imprimerie et reproduction d’enregistrements,IPI — Industrie chimique,IPI — Industrie pharmaceutique,IPI — Fabrication de produits en caoutchouc et en plastique,IPI — Fabrication d’autres produits minéraux non métalliques,IPI — Métallurgie,"IPI — Fabrication de produits métalliques, à l’exclusion des machines et des équipements","IPI — Fabrication de produits informatiques, électroniques et optiques",IPI — Fabrication d’équipements électriques,IPI — Fabrication de machines et équipements n.c.a.,IPI — Industrie automobile,IPI — Fabrication d’autres matériels de transport,IPI — Fabrication de meubles,IPI — Autres industries manufacturés,IPI — Réparation et installation de machines et équipements,Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH),Crédits à l'équipement — Industrie de transformation (MDH),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (2),Crédits à l'équipement — Industrie de transformation (MDH) (2),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (3),Crédits à l'équipement — Industrie de transformation (MDH) (3),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (4),Crédits à l'équipement — Industrie de transformation (MDH) (4),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (5),Crédits à l'équipement — Industrie de transformation (MDH) (5)
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10-01,19489.7854,8810.0855,5642.8923,9122.6011,10712.8789,,,,,,,,,,,,,,,,,,,,,,,,,9131.1662,7854.4843,5297.2749,1243.1025,3677.8834,1080.2303,5943.4628,1543.6767,5779.8814,2859.7439
2007-01-01,17797.9959,9353.003,5093.8374,10200.0827,10749.5185,,,,,,,,,,,,,,,,,,,,,,,,,8629.7868,6662.4845,5749.3721,1202.2421,3289.889,1263.7843,6955.8523,1596.5654,5922.6398,3521.057
2007-04-01,18662.0589,9545.3599,6698.7233,11489.9884,11402.8128,,,,,,,,,,,,,,,,,,,,,,,,,9458.3579,6629.7057,5858.6152,1178.4543,4575.7606,1487.3184,7942.3711,1812.8017,6249.583,3725.7951
