"Valeurs ajoutées en volume (prix chaînés, base 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014:1,2014:2,2014:3,2014:4,2015:1,2015:2,2015:3,2015:4,2016:1,2016:2,2016:3,2016:4,2017:1,2017:2,2017:3,2017:4,2018:1,2018:2,2018:3,2018:4,2019:1,2019:2,2019:3,2019:4,2020:1,2020:2,2020:3,2020:4,2021:1,2021:2,2021:3,2021:4,2022:1,2022:2,2022:3,2022:4,2023:1,2023:2,2023:3,2023:4,2024:1,2024:2,2024:3,2024:4,2025:1,2025:2,2025:3,2025:4,2026:1
Secteur primaire,,,,,15.205369209138642,13.535812909667854,14.902078761297965,12.547053638184803,-16.410112821785273,-18.718533178873,-19.669447863587276,-19.49901496008112,18.82787677406248,22.005253083134633,19.780377100351387,17.46423666399366,4.463411216492363,4.969544706124851,3.948855957681663,4.506454904007384,-3.1812985245797565,-4.643244089063902,-3.2596044677815406,-4.588471710705311,-4.700351577169792,-6.722193201895676,-7.203634483385346,-9.884504852002019,17.06721074325175,18.175765175516222,18.61886741925336,22.453837090224702,-10.685540946520156,-12.202384190060744,-13.095694806843772,-11.302728930326078,1.7440970805423284,1.6477076573415683,3.3630333345801677,0.13324729314079242,-4.938619682539647,-5.422538084108197,-4.749988178345566,-5.299974732176027,7.671165852847595,7.594510140729871,5.963361378953058,7.283680719181729,17.266844088143294
Agriculture,,,,,14.739306333892488,14.200794942156868,15.273897635766653,12.966070205756974,-17.803401105439754,-19.775872651092442,-20.495996565547536,-20.518428017084965,21.239531772524288,24.15193056405036,21.025908150756912,19.759702347178386,5.920521475550489,5.954961743271792,5.311009108247022,5.167920329867015,-4.9388827803192985,-5.373527290463443,-5.004202327410812,-4.849499109565469,-5.411558596019295,-7.034669355781031,-9.813361657962016,-10.197121628479133,17.807493012100117,17.5390939888598,21.35603079764308,21.386489586588596,-10.499885490432682,-11.789738909616199,-11.400098025315952,-11.376102326769654,2.11799138478288,1.5960515864451796,0.9868038445757454,1.1197352599746635,-5.872792045491259,-5.3415584283019175,-6.041699755910956,-5.709575660681477,8.128848697969527,8.335793862941742,8.025376115483462,8.335793862941742,18.422969999999992
Pêche,,,,,26.310006056874325,0.5952443086604253,6.84245740038294,4.094759478130117,11.705627363182014,3.0643840158423252,-1.6432043155782172,1.3113273751785615,-12.833177771229842,-8.434023502857302,0.3650141784795169,-15.042832941104455,-16.762599540697753,-10.136485287447705,-16.466468997277705,-6.022087607595439,24.90508049573823,6.740628544998661,25.169892195880863,-0.578556061584945,8.179183768269048,-0.3567883782341186,40.37379717364311,-3.1093383935170804,2.00556032505248,33.52095895941763,-22.03833480694365,49.643047466700494,-13.972402435194809,-18.626060569440817,-41.86015995947301,-10.190331745417335,-5.071335538227939,2.5997480866689626,70.45569087223413,-15.985611446650715,17.338762826937625,-7.046335291647732,20.28106041304314,4.027750422051324,-1.0227185198948607,-8.455441983760782,-25.01781242594001,-14.28055369709763,-1.9000000000000017
Secteur secondaire,,,,,-0.2262546856010239,0.5116924993943561,1.4687645966336538,5.363643009848329,3.4504178600637037,0.4916017047716492,1.7278316637931779,1.9406799281161513,2.4197623246771993,5.469056428005481,2.705378492652155,2.983905719716007,4.14840731205548,2.0231752050378304,3.610366556335287,2.8287668343250916,2.9701029033015747,6.156799237505495,4.017730485961657,3.135969530210847,1.1546758798137269,-15.878000533038039,-3.9807072465504523,-1.9648368269282068,2.165118034985447,18.502930960502304,5.807951407343137,6.0909375717290715,-1.554931633702017,0.7713273576019697,-1.1450161981326867,-4.278371497422406,-1.6152380960699375,-3.0694829119767397,0.4194074966502148,8.098409647350513,2.764629267499652,2.742564795560143,6.501390181139355,3.32216754315533,2.9320831002800585,5.820217585385512,2.379876263124814,2.22225249961967,-1.0387381561077769
Industrie d’extraction,,,,,-4.211756830759239,-1.1984650447595113,2.7912046562034387,4.980307063324041,5.7416821873383705,1.483001765726688,1.2937409202024908,4.864938071692149,5.114053829314447,17.551529688301493,11.481763177677863,10.011288156930043,5.386968779069479,-3.4266930227139225,-1.5342588044756744,-3.081239524826085,3.3751798808527855,0.24764352648425358,2.5493433320384673,3.105938797749519,-0.44013727438422245,4.275300036069152,2.006891451660797,4.701558425046759,9.585567955190587,5.741004850183629,9.333504494443678,4.776543900906849,-13.2911976358298,-18.092413089192615,-23.205281949799073,-37.278042560953764,-20.58309620529898,-14.912304381385312,-4.500439795813682,32.90646061319487,17.567345128498026,18.393391825457385,12.48323766461461,-0.17815394376126115,9.337361561323876,13.732864408444545,7.88158046974321,-0.9669912293505667,-3.200000000000003
Industrie de transformation,,,,,-0.050669071269948684,0.551025561384888,0.8499189128067908,5.07362330978498,1.5940004051587575,-1.3579477616970537,0.29470957596506864,2.149424878544548,3.4626984779832393,6.073317107232912,2.498411888193597,1.5932493010384352,3.0126089521954835,1.0986983733050515,4.30534062966581,4.278289302023275,2.401894798775839,6.664171264646712,2.7618395599261936,1.7974412466060352,1.1000784826108445,-21.32206913604817,-4.466244701362021,-4.629240389309475,2.2770163658098586,23.825522079956297,5.023116712282905,7.609217594547779,-0.42950565660417883,4.5843476941832995,3.8670680545255243,1.8620726170834212,3.613234907681373,-0.7997903634238801,1.8829381218511854,8.164929752715299,0.4479198501381898,1.3657383873697526,5.252221438313365,1.1722273665271121,0.9827738203170844,4.336206564203859,0.39946256768625954,2.0730944849770117,-1.294193251851905
Fabrication de produits alimentaires et de boissons,,,,,0.2607707888689914,2.512950464235564,2.6856786386534104,5.418177345050834,3.589295478800647,-1.7551254057834198,1.2177265152667927,2.5491501862027865,10.10310229371576,8.508929964199275,5.295202125832699,0.3153251782679556,-1.4397250253257776,0.1267802464979706,3.906959184375358,7.195842046082768,0.5826794493340337,4.804805298409898,1.4251374861949717,-0.22465983940934686,6.599899475636484,-0.5678925771116061,-3.9634498877835433,-1.1983606696016502,0.9001367465286458,2.302159383303337,5.342438604291133,6.559377569793168,0.6035181635697162,8.132900560386535,9.992753724227876,7.063495674812392,6.221847026431182,1.029085235931615,2.4449646851467,-0.4720001943648078,0.2292768965281855,-7.408466178006934,3.667793738158953,0.7024265075710412,-2.559089800853964,4.568351526338055,3.2990811530025033,7.204528455573489,-3.400000000000003
"Fabrication de textiles, d’articles d’habillement, de cuir et d’articles de cuir",,,,,-0.4353256302039532,-4.67522124194597,0.4278203438734307,0.02981876802445882,0.5222872945953805,3.894835047330858,-3.256111919517213,6.2880596210793005,0.08063584468034346,0.33354471803097585,-0.637177404046807,-0.783384693508149,-0.5351774954116761,-2.245858685564528,5.750687813121358,1.9266929175643321,-0.23483655575269324,6.994488737132132,-1.310700313874591,-0.6330423615202863,-3.6289670733168466,-41.664526591487494,-9.684347973874575,-19.47787562330405,0.9396108089200661,43.58158313134615,4.883611055688397,7.585670067286454,4.920476358637216,12.352640486100874,4.8624644536941375,13.208660604090184,0.13666869556687722,0.3359456481948575,-3.549954928050991,-2.852485593853027,-5.6378129006316335,-3.4127955243167363,7.059290855678357,-0.9726977270363313,2.802882659323336,-5.2318115765756845,-0.08136655356349998,0.22766014781723243,-3.7675800563992445
Fabrication d’articles en bois et en papier; imprimerie et reproduction de supports,,,,,-0.6456372303267566,4.328994337730885,-4.658593759903651,8.255043761030167,2.107544610183232,0.8637803605748617,7.2510147906320155,7.908887326064118,6.452325292326733,1.327732780555202,-2.6028143440561036,-4.227535248536407,1.3361985332385862,6.229363945786259,3.9155146940536234,3.0201856881848066,-2.4321518489337945,0.8794604363953296,1.9948850031888732,0.7036231154781802,4.347069844933427,-20.93776980891405,-9.528519060498187,-1.4589789148895749,1.522244640476056,15.50006367025276,9.611176521993169,5.663021041797722,-2.8965726226493405,6.803295578924851,-1.9994433945596635,-6.098287129026437,-3.9196122291257574,-0.2641734342919033,1.0593461784522473,0.704243713145325,3.9417163661993992,0.2413608998948602,2.9671726094339768,7.642587535766587,-0.5146069410297605,3.8021154621344477,-2.0204403374823765,-0.48790675809526896,-2.500000000000002
Cokéfaction et fabrication de produits pétroliers raffinés ,,,,,-29.329187987806936,-35.10950231687784,-42.40033493222205,-51.88287104517955,-86.34781682695439,-83.43358128034055,-78.92351924414078,-71.0127132715904,-0.7462694708513906,-0.7462694708513906,-0.7462694708513906,-0.7462694708513906,0.7352930283432091,0.7352930283432091,0.7352930283432091,0.7352930283432091,0,0,0,0,-1.928765869241289e-06,-1.928765869241289e-06,-1.928765869241289e-06,-1.928765869241289e-06,0,0,0,0,0.7352941176470562,0.7352941176470562,0.7352941176470562,0.7352941176470562,0.7230188285226369,-0.241006276174216,-0.241006276174216,-0.241006276174216,-2.4198088690707165,0.8143975969243877,0.8143975969243877,0.8143975969243877,0,0,0,0,0.03483702649833553
